ip,port_list,os_type,raw_data,device,label,proc_info,proc_os_type
1.9.247.62,{'ssh': [22]},Cisco Aironet 1250 WAP (IOS 12.4) or IOS XE," SSH-2.0-Cisco-1.25
",WAP,21,ssh 2 0 cisco 1 25,cisco aironet 1250 wap io 12 4 io xe
122.246.6.50,"{'https': [443], 'http': [80]}",DD-WRT v24-sp2 (Linux 3.10)," HTTP/1.1 404 Not Found\x0D
Server: NWSs\x0D
Date: Sat, 27 Apr 2019 01:39:15 GMT\x0D
Content-Type: text/html\x0D
Content-Length: 52\x0D
Connection: close\x0D
X-NWS-LOG-UUID: 30f16815-0a1a-4d48-ac8e-af486f73d4dd\x0D
X-Daa-Tunnel: hop_count=1\x0D
\x0D
The requested URL '/' was not found on this server.
",WAP,21,http 1 1 404 found x0d server nw x0d date sat 27 apr 2019 01 39 15 gmt x0d content type text html x0d content length 52 x0d connection close x0d x nw log uuid 30f16815 0a1a 4d48 ac8e af486f73d4dd x0d x daa tunnel hop count 1 x0d x0d requested url wa found server,dd wrt v24 sp2 linux 3 10
1.9.205.103,{'http': [1050]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Tue, 07 May 2019 14:09:53 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""18f5954e6f81807b166e840b5c954e44"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date tue 07 may 2019 14 09 53 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce 18f5954e6f81807b166e840b5c954e44 uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html,dd wrt v24 sp2 linux 2 4 36
31.163.47.70,"{'tcpwrapped': [53], 'http': [5555]}",DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1 200 OK\x0D
Content-Type: text/xml\x0D
Date: Thu, 19 Jan 2012 04:29:12 GMT\x0D
Expires: Thu, 26 Oct 1995 00:00:00 GMT\x0D
Last-Modified: Thu, 19 Jan 2012 04:29:12 GMT\x0D
Pragma: no-cache\x0D
Server: RomPager/4.07 UPnP/1.0\x0D
\x0D
",WAP,21,http 1 1 200 ok x0d content type text xml x0d date thu 19 jan 2012 04 29 12 gmt x0d expires thu 26 oct 1995 00 00 00 gmt x0d last modified thu 19 jan 2012 04 29 12 gmt x0d pragma cache x0d server rompager 4 07 upnp 1 0 x0d x0d,dd wrt v24 sp2 linux 2 4 36
1.9.191.34,{'ssh': [22]},Cisco Aironet 2600-series WAP (IOS 15.2(2))," SSH-1.99-Cisco-1.25
",WAP,21,ssh 1 99 cisco 1 25,cisco aironet 2600 series wap io 15 2 2
1.9.69.98,"{'reverse-ssl': [541], 'tcpwrapped': [443]}",Tomato 1.27 - 1.28 (Linux 2.4.20)," \x16\x03\x01\x00\xBA\x01\x00\x00\xB6\x03\x03\x0F$^k\xFE\xD0\xF8BVj8\x11\x9C\xFA>\x91\xE1\xF9\xA2\x8D\x83{\xFA\xB4&\x8B'\xC1\x08\xCBav\x00\x00,\x009\x005\x00k\x00=\xC00\xC0,\xC0(\xC0$\xC0\x14\xC0
\x003\x00/\x00g\x00<\xC0/\xC0+\x00\x9E\xC0'\xC0#\xC0\x13\xC0	\x00\xFF\x01\x00\x00a\x00\x00\x00\x19\x00\x17\x00\x00\x14support.fortinet.com\x00\x0B\x00\x04\x03\x00\x01\x02\x00
\x00\x08\x00\x06\x00\x17\x00\x19\x00\x18\x00#\x00\x00\x00\x16\x00\x00\x00\x17\x00\x00\x00\x0D\x00 \x00\x1E\x06\x01\x06\x02\x06\x03\x05\x01\x05\x02\x05\x03\x04\x01\x04\x02\x04\x03\x03\x01\x03\x02\x03\x03\x02\x01\x02\x02\x02\x03 HTTP/1.1 200 OK\x0D
Date: Tue, 07 May 2019 06:42:07 GMT\x0D
Server: xxxxxxxx-xxxxx\x0D
Vary: Accept-Encoding\x0D
Content-Length: 79\x0D
Connection: close\x0D
Content-Type: text/html; charset=utf-8\x0D
X-Frame-Options: SAMEORIGIN\x0D
Content-Security-Policy: frame-ancestors 'self'\x0D
X-XSS-Protection: 1; mode=block\x0D
X-UA-Compatible: IE=Edge\x0D
\x0D
<html>
<script language=javascript>

top.location=""/login"";

</script>
</html>
",WAP,21,x16 x03 x01 x00 xba x01 x00 x00 xb6 x03 x03 x0f k xfe xd0 xf8bvj8 x11 x9c xfa x91 xe1 xf9 xa2 x8d x83 xfa xb4 x8b xc1 x08 xcbav x00 x00 x009 x005 x00k x00 xc00 xc0 xc0 xc0 xc0 x14 xc0 x003 x00 x00g x00 xc0 xc0 x00 x9e xc0 xc0 xc0 x13 xc0 x00 xff x01 x00 x00a x00 x00 x00 x19 x00 x17 x00 x00 x14support fortinet com x00 x0b x00 x04 x03 x00 x01 x02 x00 x00 x08 x00 x06 x00 x17 x00 x19 x00 x18 x00 x00 x00 x00 x16 x00 x00 x00 x17 x00 x00 x00 x0d x00 x00 x1e x06 x01 x06 x02 x06 x03 x05 x01 x05 x02 x05 x03 x04 x01 x04 x02 x04 x03 x03 x01 x03 x02 x03 x03 x02 x01 x02 x02 x02 x03 http 1 1 200 ok x0d date tue 07 may 2019 06 42 07 gmt x0d server xxxxxxxx xxxxx x0d vary accept encoding x0d content length 79 x0d connection close x0d content type text html charset utf 8 x0d x frame option sameorigin x0d content security policy frame ancestor self x0d x x protection 1 mode block x0d x ua compatible ie edge x0d x0d html script language javascript top location login script html,tomato 1 27 1 28 linux 2 4 20
1.9.119.66,{'tcpwrapped': [80]},Tomato 1.27 - 1.28 (Linux 2.4.20)," HTTP/1.1 200 OK\x0D
Date: Tue, 07 May 2019 08:51:45 GMT\x0D
Server: xxxxxxxx-xxxxx\x0D
Vary: Accept-Encoding\x0D
Content-Length: 79\x0D
Connection: close\x0D
Content-Type: text/html; charset=utf-8\x0D
X-Frame-Options: SAMEORIGIN\x0D
Content-Security-Policy: frame-ancestors 'self'\x0D
X-UA-Compatible: IE=Edge\x0D
\x0D
<html>
<script language=javascript>

top.location=""/login"";

</script>
</html>
",WAP,21,http 1 1 200 ok x0d date tue 07 may 2019 08 51 45 gmt x0d server xxxxxxxx xxxxx x0d vary accept encoding x0d content length 79 x0d connection close x0d content type text html charset utf 8 x0d x frame option sameorigin x0d content security policy frame ancestor self x0d x ua compatible ie edge x0d x0d html script language javascript top location login script html,tomato 1 27 1 28 linux 2 4 20
97.121.211.190,"{'tram': [4567], 'admdog': [5101]}",DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1\x0D
Connection: close\x0D
\x0D
",WAP,21,http 1 1 x0d connection close x0d x0d,dd wrt v24 sp2 linux 2 4 36
177.155.224.137,"{'ssh': [22], 'http': [80], 'tcpwrapped': [10001]}",Ubiquiti AirOS 5.5.9," SSH-2.0-dropbear_2016.74\x0D
\x00\x00\x02,\x06\x14\xBDH,\xC1\xA3Bh\xAE\xB2v\xDF\xE1oo\xE1&\x00\x00\x00\x8Ccurve25519-sha256@libssh.org,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,diffie-hellman-group14-sha1,diffie-hellman-group1-sha1\x00\x00\x00\x0Fssh-rsa,ssh-dss\x00\x00\x00gaes128-ctr,aes256-ctr,aes128-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,3des-ctr,3des-cbc\x00\x00\x00gaes128-ctr,aes256-ctr,aes128-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,3des-ctr,3des-cbc\x00\x00\x00;hmac-sha1-96,hmac-sha1,hmac-sha2-256,hmac-sha2-512,hmac-md5\x00\x00\x00;hmac-sha1-96,hmac-sha1,hmac-sha2-256,hmac-sha2-512,hmac-md5\x00\x00\x00\x04none\x00\x00\x00\x04none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00x\x1A)\x00\x1DD HTTP/1.0 302 Found\x0D
Set-Cookie: AIROS_00156D1EDCB6=5448ff7bda3d0a0e157bba8d7a89c1fd; Path=/; Version=1\x0D
Location: /cookiechecker?uri=/\x0D
Content-Length: 0\x0D
Connection: close\x0D
Date: Sat, 13 Oct 2018 18:26:30 GMT\x0D
Server: lighttpd/1.4.39\x0D
\x0D
",WAP,21,ssh 2 0 dropbear 2016 74 x0d x00 x00 x02 x06 x14 xbdh xc1 xa3bh xae xb2v xdf xe1oo xe1 x00 x00 x00 x8ccurve25519 sha256 libssh org ecdh sha2 nistp521 ecdh sha2 nistp384 ecdh sha2 nistp256 diffie hellman group14 sha1 diffie hellman group1 sha1 x00 x00 x00 x0fssh rsa ssh ds x00 x00 x00gaes128 ctr aes256 ctr aes128 cbc aes256 cbc twofish256 cbc twofish cbc twofish128 cbc 3des ctr 3des cbc x00 x00 x00gaes128 ctr aes256 ctr aes128 cbc aes256 cbc twofish256 cbc twofish cbc twofish128 cbc 3des ctr 3des cbc x00 x00 x00 hmac sha1 96 hmac sha1 hmac sha2 256 hmac sha2 512 hmac md5 x00 x00 x00 hmac sha1 96 hmac sha1 hmac sha2 256 hmac sha2 512 hmac md5 x00 x00 x00 x04none x00 x00 x00 x04none x00 x00 x00 x00 x00 x00 x00 x00 x00 x00 x00 x00 x00x x1a x00 x1dd http 1 0 302 found x0d set cookie airos 00156d1edcb6 5448ff7bda3d0a0e157bba8d7a89c1fd path version 1 x0d location cookiechecker uri x0d content length 0 x0d connection close x0d date sat 13 oct 2018 18 26 30 gmt x0d server lighttpd 1 4 39 x0d x0d,ubiquiti airos 5 5 9
1.9.144.214,"{'telnet': [23], 'http': [80]}",Cisco Aironet 1200-series WAP router (IOS 12.3 - 12.4), \xFF\xFB\x01\xFF\xFB\x03\xFF\xFD\x18\xFF\xFD\x1F,WAP,21,xff xfb x01 xff xfb x03 xff xfd x18 xff xfd x1f,cisco aironet 1200 series wap router io 12 3 12 4
1.1.118.111,"{'http': [55600], 'http-proxy': [8080]}",Tomato 1.27 - 1.28 (Linux 2.4.20)," HTTP/1.1 401 Authorization Required\x0D
Date: Mon, 06 May 2019 16:49:08 GMT\x0D
Server: Apache\x0D
WWW-Authenticate: Digest realm=""Please enter username and password"", nonce=""JnUQ4TqIBQA=ad3921a41e076c4c46ac71d73c437d21a1e4bb79"", algorithm=MD5, qop=""auth""\x0D
Vary: Accept-Encoding\x0D
Content-Length: 401\x0D
Connection: close\x0D
Content-Type: text/html; charset=iso-8859-1\x0D
\x0D
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>401 Authorization Required</title>
</head><body>
<h1>Authorization Required</h1>
<p>This server could not verify that you
are authorized to access the document
requested.  Either you supplied the wrong
credentials (e.g., bad password), or your
browser doesn't understand how to supply
the credentials required.</p>
</body></html>
",WAP,21,http 1 1 401 authorization required x0d date mon 06 may 2019 16 49 08 gmt x0d server apache x0d www authenticate digest realm please enter username password nonce jnuq4tqibqa ad3921a41e076c4c46ac71d73c437d21a1e4bb79 algorithm md5 qop auth x0d vary accept encoding x0d content length 401 x0d connection close x0d content type text html charset iso 8859 1 x0d x0d doctype html public ietf dtd html 2 0 en html head title 401 authorization required title head body h1 authorization required h1 p server could verify authorized access document requested either supplied wrong credential e g bad password browser understand supply credential required p body html,tomato 1 27 1 28 linux 2 4 20
1.9.81.138,{'telnet': [23]},Cisco Aironet 1250 WAP (IOS 12.4) or IOS XE, \xFF\xFB\x01\xFF\xFB\x03\xFF\xFD\x18\xFF\xFD\x1F,WAP,21,xff xfb x01 xff xfb x03 xff xfd x18 xff xfd x1f,cisco aironet 1250 wap io 12 4 io xe
1.9.205.47,"{'http': [1050], 'tcpwrapped': [6881]}",DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Tue, 07 May 2019 14:11:02 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""9d744cea9a369f51358b7aeda949c6d8"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date tue 07 may 2019 14 11 02 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce 9d744cea9a369f51358b7aeda949c6d8 uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html,dd wrt v24 sp2 linux 2 4 36
